VARIABLES=X/D,CP,MACH
ZONE T="BODY CP, MLOCAL AT MACH=  1.50 ALPHA= 0.0"
          0.530000      0.228817      1.225979
          0.559435      0.228817      1.225979
          0.588871      0.228817      1.225979
          0.618306      0.228817      1.225979
          0.647742      0.228817      1.225979
          0.677177      0.228817      1.225979
          0.706613      0.228817      1.225979
          0.736048      0.258195      1.200490
          0.765484      0.283774      1.178736
          0.794919      0.279697      1.182177
          0.824355      0.276333      1.185023
          0.853790      0.273559      1.187376
          0.883226      0.271270      1.189321
          0.912661      0.269382      1.190928
          0.942097      0.261082      1.198014
          0.971532      0.149447      1.297925
          1.000968      0.153456      1.294172
          1.030403      0.157082      1.290788
          1.059839      0.160363      1.287736
          1.089274      0.163332      1.284982
          1.118710      0.166018      1.282497
          1.148145      0.168448      1.280254
          1.177581      0.175210      1.274037
          1.207016      0.183729      1.266256
          1.236452      0.185151      1.264963
          1.265887      0.186432      1.263799
          1.295323      0.187588      1.262750
          1.324758      0.188630      1.261806
          1.354194      0.189569      1.260954
          1.383629      0.190416      1.260188
          1.413064      0.053062      1.392757
          1.442500      0.048259      1.397740
          1.471936      0.052191      1.393659
          1.501371      0.055874      1.389852
          1.530807      0.059322      1.386302
          1.560242      0.062552      1.382990
          1.589678      0.065576      1.379900
          1.619113      0.057772      1.387896
          1.648548      0.035230      1.411396
          1.677984      0.038377      1.408078
          1.707419      0.041342      1.404964
          1.736855      0.044134      1.402042
          1.766290      0.046763      1.399297
          1.795726      0.049240      1.396720
          1.825161      0.051573      1.394299
          1.854597     -0.054836      1.512083
          1.884032     -0.073500      1.534534
          1.913468     -0.069673      1.529880
          1.942903     -0.065997      1.525435
          1.972339     -0.062466      1.521187
          2.001774     -0.059074      1.517128
          2.031210     -0.055817      1.513247
          2.060645     -0.052687      1.509537
          2.090081     -0.049682      1.505988
          2.119516     -0.046795      1.502594
          2.148952     -0.044021      1.499347
          2.178387     -0.041358      1.496240
          2.207823     -0.038799      1.493266
          2.237258     -0.036341      1.490419
          2.266694     -0.033981      1.487693
          2.296129     -0.031713      1.485084
          2.325565     -0.029535      1.482585
          2.355000     -0.027443      1.480191
          2.355000     -0.123268      1.597643
          2.383702     -0.120007      1.593351
          2.412404     -0.116833      1.589195
          2.441107     -0.113742      1.585170
          2.469809     -0.110733      1.581271
          2.498511     -0.107804      1.577494
          2.527213     -0.104953      1.573833
          2.555915     -0.102176      1.570286
          2.584617     -0.099474      1.566848
          2.613319     -0.096842      1.563514
          2.642021     -0.094280      1.560282
          2.670723     -0.091787      1.557149
          2.699426     -0.089359      1.554109
          2.728128     -0.086995      1.551162
          2.756830     -0.084694      1.548302
          2.785532     -0.082453      1.545528
          2.814234     -0.080272      1.542836
          2.842936     -0.078149      1.540224
          2.871638     -0.076081      1.537689
          2.900341     -0.074069      1.535229
          2.929043     -0.072110      1.532841
          2.957745     -0.070202      1.530522
          2.986447     -0.068345      1.528272
          3.015149     -0.066537      1.526087
          3.043851     -0.064777      1.523965
          3.072553     -0.063064      1.521905
          3.101255     -0.061395      1.519904
          3.129958     -0.059771      1.517960
          3.158660     -0.058190      1.516073
          3.187362     -0.056651      1.514239
          3.216064     -0.055152      1.512458
          3.244766     -0.053693      1.510728
          3.273468     -0.052273      1.509047
          3.302170     -0.050890      1.507414
          3.330872     -0.049544      1.505827
          3.359575     -0.048234      1.504284
          3.388277     -0.046958      1.502786
          3.416979     -0.045716      1.501329
          3.445681     -0.044506      1.499914
          3.474383     -0.043329      1.498538
          3.503085     -0.042183      1.497201
          3.531787     -0.041067      1.495901
          3.560489     -0.039981      1.494638
          3.589191     -0.038923      1.493410
          3.617893     -0.037893      1.492216
          3.646596     -0.036891      1.491055
          3.675298     -0.035915      1.489926
          3.704000     -0.034965      1.488829
          3.732702     -0.034040      1.487762
          3.761404     -0.033140      1.486725
          3.790107     -0.032263      1.485716
          3.818809     -0.031410      1.484735
          3.847511     -0.030579      1.483782
          3.876213     -0.029770      1.482854
          3.904915     -0.028983      1.481952
          3.933617     -0.028216      1.481075
          3.962319     -0.027469      1.480222
          3.991021     -0.026743      1.479392
          4.019723     -0.026035      1.478585
          4.048426     -0.025347      1.477800
          4.077128     -0.024676      1.477036
          4.105830     -0.024023      1.476294
          4.134532     -0.023388      1.475571
          4.163234     -0.022769      1.474869
          4.191936     -0.022167      1.474185
          4.220638     -0.021581      1.473520
          4.249341     -0.021010      1.472873
          4.278042     -0.020454      1.472244
          4.306745     -0.019913      1.471632
          4.335447     -0.019386      1.471036
          4.364149     -0.018873      1.470457
          4.392851     -0.018374      1.469893
          4.421553     -0.017888      1.469345
          4.450255     -0.017415      1.468811
          4.478958     -0.016954      1.468292
          4.507659     -0.016506      1.467787
