      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',      'SREF',       'XCG',      'XMRP',      'LREF',    'LATREF',     'ALPHA',        'CN',        'CM',        'CA',     'CA_0B',     'CA_FB',        'CY',       'CLN',       'CLL',        'CL',        'CD',     'CL/CD',    'X-C.P.',       'CNA',       'CMA',       'CYB',      'CLNB',      'CLLB',       'CNQ',       'CMQ',       'CAQ',      'CNAD',      'CMAD',       'CYQ',      'CLNQ',      'CLLQ',       'CYR',      'CLNR',      'CLLR',       'CYP',      'CLNP',      'CLLP',       'CNP',       'CMP',       'CAP',       'CNR',       'CMR',       'CAR',
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      2.9945,      2.6957,      2.9945,      0.0000,      0.0000,      0.0000,      0.0000,      2.9945,      0.0000,     43.3861,      0.0742,      3.2205,     -0.0878,     -3.2556,      0.0000,      0.8186,    -75.5017,      0.0000,      7.2597,     67.3449,      0.0000,      0.0000,      0.0000,      0.9475,    -75.5017,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      8.0000,      1.4623,     28.0111,      2.9440,      2.6435,      2.9440,      0.0000,      0.0000,      0.0000,      1.0383,      3.1189,      0.3329,     19.1560,      0.2913,      3.7823,     -0.1825,     -3.4813,      0.0000,      0.8186,    -75.5017,      0.0000,      7.2597,     67.3449,      0.0000,      0.0000,      0.0000,      0.9475,    -75.5017,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,     16.0000,      4.7151,     60.8783,      2.7871,      2.4909,      2.7871,      0.0000,      0.0000,      0.0000,      3.7643,      3.9788,      0.9461,     12.9112,      0.5219,      4.4345,     -0.2875,     -3.7072,      0.0000,      0.8186,    -75.5017,      0.0000,      7.2597,     67.3449,      0.0000,      0.0000,      0.0000,      0.9475,    -75.5017,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      6.5157,      6.1148,      6.5157,      0.0000,      0.0000,      0.0000,      0.0000,      6.5157,      0.0000,     64.8781,      0.0484,      3.1404,     -0.0691,     -3.2006,      0.0000,      0.5371,   -262.8378,      0.0000,      6.8179,    246.2488,      0.0000,      0.0000,      0.0000,      0.7438,   -262.8378,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      8.0000,      1.7129,     28.9776,      6.3973,      5.9963,      6.3973,      0.0000,      0.0000,      0.0000,      0.8059,      6.5734,      0.1226,     16.9170,      0.3798,      4.1040,     -0.2140,     -3.6029,      0.0000,      0.5371,   -262.8378,      0.0000,      6.8179,    246.2488,      0.0000,      0.0000,      0.0000,      0.7438,   -262.8378,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,     16.0000,      6.2411,     66.7620,      6.0432,      5.6502,      6.0432,      0.0000,      0.0000,      0.0000,      4.3336,      7.5294,      0.5756,     10.6971,      0.7522,      5.3421,     -0.3806,     -4.0664,      0.0000,      0.5371,   -262.8378,      0.0000,      6.8179,    246.2488,      0.0000,      0.0000,      0.0000,      0.7438,   -262.8378,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      5.5577,      5.1644,      5.5577,      0.0000,      0.0000,      0.0000,      0.0000,      5.5577,      0.0000,      9.3904,      0.2788,      2.6182,     -0.3082,     -2.7140,      0.0000,      3.0486,    -45.6289,      0.0000,      8.2851,     30.2636,      0.0000,      0.0000,      0.0000,      3.3494,    -49.1707,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      8.0000,      4.1084,     27.0793,      5.4411,      5.0516,      5.4411,      0.0000,      0.0000,      0.0000,      3.3112,      5.9599,      0.5556,      6.5912,      0.7483,      4.1516,     -0.5121,     -3.3693,      0.0000,      3.0486,    -45.6289,      0.0000,      8.2851,     30.2636,      0.0000,      0.0000,      0.0000,      3.3494,    -49.1707,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,     16.0000,     12.5185,     69.7157,      5.1000,      4.7220,      5.1000,      0.0000,      0.0000,      0.0000,     10.6278,      8.3530,      1.2723,      5.5690,      1.3542,      6.5075,     -0.7631,     -4.2480,      0.0000,      3.0486,    -45.6289,      0.0000,      8.2851,     30.2636,      0.0000,      0.0000,      0.0000,      3.3494,    -49.1707,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      2.3000,    0.53E+08,      0.0000, 375207.0625,      0.0000,      0.0000,      0.0013,      0.7287,     11.6900,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      4.3207,      4.0373,      4.3207,      0.0000,      0.0000,      0.0000,      0.0000,      4.3207,      0.0000,     10.1224,      0.2472,      2.5019,     -0.2848,     -2.6252,      0.0000,      2.7036,    -41.6389,      0.0000,      7.7075,     28.1538,      0.0000,      0.0000,      0.0000,      3.0948,    -46.2046,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
