VARIABLES=ALPHA,CN,CM,CA,CY,CLN,CLL,DELTA,CL,CD
ZONE T="NO TRIM MACH=  0.60"
   0.00    0.0000    0.0000    2.9945    0.0000    0.0000    0.0000    0.6000    0.0000    2.9945
   8.00    1.4623   28.0111    2.9440    0.0000    0.0000    0.0000    0.6000    1.0383    3.1189
  16.00    4.7151   60.8783    2.7871    0.0000    0.0000    0.0000    0.6000    3.7643    3.9788
ZONE T="NO TRIM MACH=  1.00"
   0.00    0.0000    0.0000    6.5157    0.0000    0.0000    0.0000    1.0000    0.0000    6.5157
   8.00    1.7129   28.9776    6.3973    0.0000    0.0000    0.0000    1.0000    0.8059    6.5734
  16.00    6.2411   66.7620    6.0432    0.0000    0.0000    0.0000    1.0000    4.3336    7.5294
ZONE T="NO TRIM MACH=  1.50"
   0.00    0.0000    0.0000    5.5577    0.0000    0.0000    0.0000    1.5000    0.0000    5.5577
   8.00    4.1084   27.0793    5.4411    0.0000    0.0000    0.0000    1.5000    3.3112    5.9599
  16.00   12.5185   69.7157    5.1000    0.0000    0.0000    0.0000    1.5000   10.6278    8.3530
ZONE T="NO TRIM MACH=  2.30"
   0.00    0.0000    0.0000    4.3207    0.0000    0.0000    0.0000    2.3000    0.0000    4.3207
   8.00    4.3862   27.9071    4.2700    0.0000    0.0000    0.0000    2.3000    3.7493    4.8389
  16.00   14.6087   77.3105    4.1215    0.0000    0.0000    0.0000    2.3000   12.9068    7.9885
ZONE T="NO TRIM MACH=  4.63"
   0.00    0.0000    0.0000    3.1884    0.0000    0.0000    0.0000    4.6300    0.0000    3.1884
   8.00    4.4832   26.9964    3.1972    0.0000    0.0000    0.0000    4.6300    3.9946    3.7900
  16.00   11.8525   64.2320    3.2229    0.0000    0.0000    0.0000    4.6300   10.5050    6.3650
