Points_0,Points_1,Points_2
0.488559,0.0001,0.0285685
0.492465,0.0001,0.0285685
0.496371,0.0001,0.0285685
0.867465,0.0001,0.0285685
0.871371,0.0001,0.0285685
0.937778,0.0001,0.0285685
0.941684,0.0001,0.0285685
0.94559,0.0001,0.0285685
0.949496,0.0001,0.0285685
0.953402,0.0001,0.0285685
0.957308,0.0001,0.0285685
0.00726872,0.0001,0.00112448
0.00780989,0.0001,0.00145837
0.00847918,0.0001,0.00160373
0.00915818,0.0001,0.00173072
0.250568,0.0001,0.0281067
0.254338,0.0001,0.028218
0.258218,0.0001,0.0283225
0.262077,0.0001,0.028417
0.312777,0.0001,0.0285685
0.316684,0.0001,0.0285685
0.32059,0.0001,0.0285685
0.324496,0.0001,0.0285685
0.328402,0.0001,0.0285685
0.332309,0.0001,0.0285685
0.625278,0.0001,0.0285685
0.629184,0.0001,0.0285685
0.63309,0.0001,0.0285685
0.636996,0.0001,0.0285685
0.640903,0.0001,0.0285685
0.644809,0.0001,0.0285685
0.0459173,0.0001,0.0082437
0.0475335,0.0001,0.00850816
0.0492501,0.0001,0.00878743
0.265968,0.0001,0.0285024
0.269852,0.0001,0.0285673
0.500278,0.0001,0.0285685
0.504184,0.0001,0.0285685
0.50809,0.0001,0.0285685
0.511996,0.0001,0.0285685
0.875278,0.0001,0.0285685
0.879184,0.0001,0.0285685
0.88309,0.0001,0.0285685
0.886996,0.0001,0.0285685
0.890903,0.0001,0.0285685
0.894809,0.0001,0.0285685
0.0509286,0.0001,0.00905857
0.0525807,0.0001,0.0093237
0.054323,0.0001,0.00960183
0.156105,0.0001,0.0223317
0.159748,0.0001,0.0226615
0.163094,0.0001,0.022957
0.166732,0.0001,0.0232703
0.515903,0.0001,0.0285685
0.519809,0.0001,0.0285685
0.523715,0.0001,0.0285685
0.527621,0.0001,0.0285685
0.0931852,0.0001,0.0152642
0.0962814,0.0001,0.0156749
0.169976,0.0001,0.0235433
0.173627,0.0001,0.0238407
0.176989,0.0001,0.0241064
0.531528,0.0001,0.0285685
0.535434,0.0001,0.0285685
0.53934,0.0001,0.0285685
0.543246,0.0001,0.0285685
0.0996606,0.0001,0.0161142
0.102989,0.0001,0.0165372
0.106584,0.0001,0.0169867
0.547153,0.0001,0.0285685
0.551059,0.0001,0.0285685
0.719028,0.0001,0.0285685
0.722934,0.0001,0.0285685
0.72684,0.0001,0.0285685
0.730746,0.0001,0.0285685
0.781528,0.0001,0.0285685
0.785434,0.0001,0.0285685
0.78934,0.0001,0.0285685
0.793246,0.0001,0.0285685
0.00992579,0.0001,0.00187963
0.0106683,0.0001,0.00202577
0.0114676,0.0001,0.0021778
0.110057,0.0001,0.0174142
0.113707,0.0001,0.0178548
0.406527,0.0001,0.0285685
0.410434,0.0001,0.0285685
0.41434,0.0001,0.0285685
0.418246,0.0001,0.0285685
0.422152,0.0001,0.0285685
0.426059,0.0001,0.0285685
0.734653,0.0001,0.0285685
0.738559,0.0001,0.0285685
0.797153,0.0001,0.0285685
0.801059,0.0001,0.0285685
