OPENFOAM_WORKSPACE_DIR,YPLUS_MIN,YPLUS_MAX,YPLUS_AVG,CA_FINAL_COEFF,CN_FINAL_COEFF,CM_FINAL_COEFF,CA_FINAL_COEFF_WINDOW,CN_FINAL_COEFF_WINDOW,CM_FINAL_COEFF_WINDOW,WINDOW_SIZE,TOTAL_STATUS_CODE,EXECUTION_TIME,NUMBER_ITERATIONS,SOLVER_NAME,ITERRATIONS_PER_EXECUTION_TIME,LAST_MODIFICATION_DATE,residual_e,log.reconstructPar,log.mapFieldsPar,residual_p,log.decomposePar,residual_Uy,residual_Ux,residual_k,log.rhoCentralFoam,log.rhoPimpleFoam,residual_Uz,residual_omega,log.mapFields,Mach,Grid_Refinement,AoA,Solver
D:\sim\convergence_Ma0.6_AoA8_rhoPimpleFoam\Ma0.6_AoA8_R2_rhoPimpleFoam,0.00010192797487,0.84345040376,0.26435345639,0.306689511,0.310081902,3.42917666,0.30662789788,0.30987336238,3.4288242388,50,0,16341.3,4850.0,rhoPimpleFoam,0.2967940127162465,2023-11-04 13:43:06,5.8466455e-08,0,1.0,1.5272279e-06,1,1.7635727000000002e-07,8.1126531e-09,8.5940394e-09,,0.0,6.2921543e-08,7.4098456e-13,,0.6,R2,8,rhoPimpleFoam
D:\sim\convergence_Ma0.6_AoA8_rhoPimpleFoam\Ma0.6_AoA8_R3_rhoPimpleFoam,0.005777388002,1.8345312417,0.48529903598,0.301449808,0.294532413,3.4360732,0.30163061484,0.29380487196,3.4356840384000007,50,1,8.43,2052.0,rhoPimpleFoam,243.4163701067616,2023-11-04 18:12:14,1.3383066e-07,1,1.0,1.6087362e-06,1,3.770610600000001e-07,1.9192979000000002e-08,1.4471988e-08,,1.0,1.5376366e-07,4.5016009e-11,,0.6,R3,8,rhoPimpleFoam
D:\sim\convergence_Ma1.5_AoA0_rhoPimpleFoam\Ma1.5_AoA0_R2_rhoPimpleFoam,8.8534822147e-05,0.48680614036,0.15176528486,0.285507976,-0.000610985111,-0.00151655642,0.2841084149999999,-0.00049549469624,-0.0018336463733999,50,1,4009.99,1177.0,rhoPimpleFoam,0.2935169414387567,2023-09-15 15:11:10,5.763577000000001e-07,1,1.0,9.3777282e-05,1,9.0265923e-07,9.7370975e-09,4.1451206e-09,,1.0,5.9529716e-05,3.4925644e-10,,1.5,R2,0,rhoPimpleFoam
D:\sim\convergence_Ma1.5_AoA0_rhoPimpleFoam\Ma1.5_AoA0_R3_rhoPimpleFoam,0.0018472221552,1.0005673493,0.3237660915,0.303084374,5.28888848e-05,-0.00858489907,0.30235674602,-0.000303655247526,-0.0083234832491999,50,1,3393.55,551.0,rhoPimpleFoam,0.1623668429815385,2023-09-15 16:12:51,1.56579e-06,1,1.0,3.5999497e-05,1,2.2607313e-06,3.8853774e-08,4.8315278e-09,,1.0,6.8185294e-05,5.776521e-12,,1.5,R3,0,rhoPimpleFoam
D:\sim\convergence_Ma1.5_AoA0_rhoPimpleFoam\Ma1.5_AoA0_R4_rhoPimpleFoam,0.0018641775372,1.061796892,0.21845485255,0.30727491,-0.000754301123,-0.00600235373,0.30700729086,-0.0009071532480799,-0.006941969655,50,1,13792.19,896.0,rhoPimpleFoam,0.0649643022609172,2023-09-15 20:11:50,2.5056994e-06,1,1.0,2.3985121e-05,1,3.9064859e-06,5.1109952000000004e-08,6.3605557e-09,,1.0,4.91556e-05,4.677396300000001e-12,,1.5,R4,0,rhoPimpleFoam
D:\sim\convergence_Ma2.3_AoA16_rhoCentralFoam\Ma2.3_AoA16_R2_rhoCentralFoam,4.596260395e-05,0.42963969029,0.10518292883,0.3773932,2.557528,12.84064,0.377417036,2.5570191400000004,12.8428458,50,1,8071.4,4717.0,rhoCentralFoam,0.5844091483509677,2023-11-03 12:13:28,1.44137e-09,1,1.0,,1,5.2347899999999995e-09,7.10564e-10,1.66379e-08,1.0,,1.7940799999999999e-09,4.34774e-11,,2.3,R2,16,rhoCentralFoam
D:\sim\convergence_Ma2.3_AoA16_rhoCentralFoam\Ma2.3_AoA16_R3_rhoCentralFoam,0.0026267426963,0.84375844812,0.19052139887,0.365141,2.477494,12.66561,0.36506342,2.4773917800000005,12.665920800000002,50,1,16904.1,4185.0,rhoCentralFoam,0.2475730739879674,2023-11-03 17:35:10,1.87405e-08,1,1.0,,1,6.79893e-08,9.580309999999998e-09,3.67519e-08,1.0,,2.50032e-08,7.386029999999997e-11,,2.3,R3,16,rhoCentralFoam
D:\sim\convergence_Ma2.3_AoA16_rhoCentralFoam\Ma2.3_AoA16_R4_rhoCentralFoam,0.0017053159942,0.77284923486,0.12269360947,0.3469033,2.481409,12.84418,0.34699321,2.48197786,12.8454554,50,1,23498.7,2559.0,rhoCentralFoam,0.1088996412567503,2023-11-04 00:55:52,9.44816e-08,1,1.0,,1,4.0974300000000004e-07,4.41884e-08,6.76949e-07,1.0,,1.39649e-07,2.54907e-10,,2.3,R4,16,rhoCentralFoam
D:\sim\convergence_Ma2.3_AoA8_rhoPimpleFoam\Ma2.3_AoA8_R2_rhoPimpleFoam,2.1277702499e-05,0.55148188984,0.16629252675,0.342074959,0.592258007,4.20858123,0.34184307188,0.59302151362,4.2146859482,50,1,3913.18,1394.0,rhoPimpleFoam,0.3562320159052228,2023-09-04 00:14:28,9.9356585e-07,1,,1.2550464e-05,1,8.523741399999998e-06,2.655553800000001e-07,7.1467856e-08,,1.0,1.8529667e-06,1.556919e-06,1.0,2.3,R2,8,rhoPimpleFoam
D:\sim\convergence_Ma2.3_AoA8_rhoPimpleFoam\Ma2.3_AoA8_R3_rhoPimpleFoam,0.00082151623144,1.0439853445,0.30630263109,0.33722147,0.579884048,4.15782162,0.33752361944,0.5795827113400001,4.1579156702,50,1,14255.45,2525.0,rhoPimpleFoam,0.1771252398205598,2023-09-05 01:43:57,1.2328369e-06,1,,1.90352e-05,1,1.3408994e-05,4.4685597e-07,1.8757523000000002e-07,,1.0,2.7741727e-06,3.3812824e-08,,2.3,R3,8,rhoPimpleFoam
