OPENFOAM_WORKSPACE_DIR,YPLUS_MIN,YPLUS_MAX,YPLUS_AVG,CA_FINAL_COEFF,CN_FINAL_COEFF,CM_FINAL_COEFF,CA_FINAL_COEFF_WINDOW,CN_FINAL_COEFF_WINDOW,CM_FINAL_COEFF_WINDOW,WINDOW_SIZE,TOTAL_STATUS_CODE,EXECUTION_TIME,NUMBER_ITERATIONS,SOLVER_NAME,ITERRATIONS_PER_EXECUTION_TIME,LAST_MODIFICATION_DATE,residual_e,log.reconstructPar,log.mapFieldsPar,residual_p,log.decomposePar,residual_Uy,residual_Ux,residual_k,log.rhoCentralFoam,log.rhoPimpleFoam,residual_Uz,residual_omega,log.mapFields,Mach,Grid_Refinement,AoA,Solver
D:\sim\convergence_Ma2.3_AoA8_rhoPimpleFoam\Ma2.3_AoA8_R4_rhoPimpleFoam,0.0010845530061,0.99916704695,0.19536708379,0.338604696,0.570636103,4.16562165,0.33902352206,0.5707061603,4.1647793936,50,1,31340.33,2284.0,rhoPimpleFoam,0.0728773436654942,2023-09-04 21:16:15,1.4196365e-06,1,,2.263099e-05,1,2.2188961e-05,4.9194665e-07,3.717708300000001e-07,,1.0,3.358264e-06,2.3109533e-08,,2.3,R4,8,rhoPimpleFoam
D:\sim\convergence_Ma4.63_AoA16_rhoCentralFoam\Ma4.63_AoA16_R2_rhoCentralFoam,9.697335769e-06,0.2809767782,0.048052658813,0.3432342,3.104529,12.01193,0.3455160060000001,3.10823726,12.0232782,50,0,5178.43,2791.0,rhoCentralFoam,0.5389664434973535,2023-09-18 23:26:48,1.68519e-10,1,1.0,,1,1.26841e-09,1.39733e-10,1.9637e-07,0.0,,1.1450899999999999e-10,1.62017e-10,,4.63,R2,16,rhoCentralFoam
D:\sim\convergence_Ma4.63_AoA16_rhoCentralFoam\Ma4.63_AoA16_R3_rhoCentralFoam,0.0002685059762,0.42666295021,0.060872648824,0.1947033,2.652617,10.84096,0.194697702,2.6522847199999995,10.843347,50,1,21622.8,4462.0,rhoCentralFoam,0.2063562535841796,2023-09-19 05:35:32,7.688359999999998e-09,1,1.0,,1,9.16551e-08,3.66423e-09,2.0327300000000002e-07,1.0,,1.50355e-08,1.43365e-10,,4.63,R3,16,rhoCentralFoam
D:\sim\convergence_Ma4.63_AoA16_rhoCentralFoam\Ma4.63_AoA16_R4_rhoCentralFoam,0.00027354719151,0.26967409046,0.038678336104,0.1862121,2.673208,11.05329,0.186077006,2.67306186,11.0521062,50,1,34684.8,3067.0,rhoCentralFoam,0.0884249008211089,2023-09-19 15:26:34,4.9679600000000004e-08,1,1.0,,1,4.6891200000000004e-07,2.21707e-08,2.85328e-06,1.0,,9.49177e-08,5.9772e-10,,4.63,R4,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma0.6_AoA0_R5_rhoCentralFoam,0.0058168850367,1.34880536,0.27364503811,0.2717441,-0.001484432,-0.0007088891,0.271773846,-0.0008414874686,0.000504030798,50,1,66052.2,3661.0,rhoCentralFoam,0.0554258601530304,2023-10-11 21:34:55,9.95454e-09,1,1.0,,1,1.76005e-08,9.05779e-09,2.26295e-06,1.0,,1.13628e-06,9.01722e-11,,0.6,R5,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma0.6_AoA16_R5_rhoCentralFoam,0.0042551158167,1.5543801348,0.3241842602,0.5179781,1.324468,8.069841,0.518363686,1.3573814999999998,8.14375262,50,1,163808.0,9191.0,rhoCentralFoam,0.0561083707755421,2023-10-19 06:08:06,1.5637000000000004e-07,1,1.0,,1,3.043320000000001e-07,5.51658e-08,3.57611e-07,1.0,,1.2775700000000002e-07,7.506419999999998e-10,,0.6,R5,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma0.6_AoA8_R5_rhoCentralFoam,0.0038722014558,1.516977564,0.31731270616,0.4842679,0.6956615,4.137675,0.4849103999999999,0.693342866,4.1468512,50,1,152311.0,9221.0,rhoCentralFoam,0.0605406044212171,2023-10-16 05:47:15,1.22534e-07,1,1.0,,1,3.04126e-07,4.59716e-08,3.703180000000001e-07,1.0,,1.7171000000000005e-07,7.241249999999998e-10,,0.6,R5,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.0_AoA0_R5_rhoCentralFoam,0.0026096484943,1.2180784985,0.25654713293,0.5110469,-0.0001558524,0.003654472,0.510856416,7.02600704e-05,0.0005792470542,50,1,37730.6,2685.0,rhoCentralFoam,0.0711623986896577,2023-10-20 18:37:55,4.79654e-08,1,1.0,,1,1.29264e-07,2.51736e-08,2.42441e-07,1.0,,6.5365e-06,1.09877e-10,,1.0,R5,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.0_AoA16_R5_rhoCentralFoam,0.0025790507586,1.274410813,0.24196780042,0.5503206,1.090074,7.821099,0.5504029100000001,1.0907453,7.816554879999999,50,1,87743.6,6676.0,rhoCentralFoam,0.0760853213225807,2023-10-22 23:34:15,1.3515100000000004e-07,1,1.0,,1,3.0885100000000004e-07,5.63645e-08,2.57548e-07,1.0,,1.45411e-07,1.01949e-10,,1.0,R5,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.0_AoA8_R5_rhoCentralFoam,0.0027237884289,1.2149176376,0.24270118268,0.5751238,0.5163416,3.598681,0.575395324,0.51719315,3.5976844,50,1,61166.2,5430.0,rhoCentralFoam,0.0887745192606374,2023-10-21 18:06:15,9.86848e-08,1,1.0,,1,3.00223e-07,4.62322e-08,1.78701e-07,1.0,,1.8961200000000002e-07,9.9775e-11,,1.0,R5,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.5_AoA0_R5_rhoCentralFoam,0.0024701146049,0.89460723633,0.18935444379,0.4814744,0.0001032131,0.0008316706,0.481473978,8.57699072e-05,0.000680421701,50,1,32796.1,2602.0,rhoCentralFoam,0.0793387018578428,2023-10-28 20:13:30,5.69211e-08,1,1.0,,1,3.13524e-07,2.66528e-08,2.98984e-07,1.0,,7.67761e-06,1.9903899999999998e-10,,1.5,R5,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.5_AoA16_R5_rhoCentralFoam,0.0033748362551,1.0167205988,0.18056631559,0.5089915,1.243819,9.336915,0.50903652,1.23892304,9.33238948,50,1,32872.6,2490.0,rhoCentralFoam,0.0757469746840834,2023-10-29 14:59:16,1.4185700000000002e-07,1,1.0,,1,4.3397300000000004e-07,6.12893e-08,8.273380000000001e-07,1.0,,1.8207000000000002e-07,2.26151e-10,,1.5,R5,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma1.5_AoA8_R5_rhoCentralFoam,0.0019939030333,0.95621414107,0.19011922517,0.5142246,0.4294397,3.811756,0.514282606,0.4226853479999999,3.80044594,50,1,31313.3,2408.0,rhoCentralFoam,0.0769002308923045,2023-10-29 05:21:31,1.04663e-07,1,1.0,,1,4.6828500000000004e-07,4.61394e-08,4.72538e-07,1.0,,2.1024700000000002e-07,2.2544099999999998e-10,,1.5,R5,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma2.3_AoA0_R5_rhoCentralFoam,0.0019625980767,0.52672496248,0.11445396861,0.34512,9.531547e-05,-0.0002344462,0.34541285,-2.32648306e-05,6.819869243999998e-05,50,1,39050.8,2923.0,rhoCentralFoam,0.0748512194372458,2023-10-30 02:14:43,5.51754e-08,1,1.0,,1,8.179900000000001e-07,2.37497e-08,2.778870000000001e-07,1.0,,7.92389e-06,2.42213e-10,,2.3,R5,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma2.3_AoA16_R5_rhoCentralFoam,0.0016115414827,0.77810633769,0.10591364921,0.3685948,2.521608,12.9542,0.368736912,2.52161654,12.957959,50,1,34276.4,2525.0,rhoCentralFoam,0.0736658458881329,2023-10-30 22:50:32,1.30097e-07,1,1.0,,1,5.577080000000001e-07,6.27716e-08,1.18275e-06,1.0,,1.9093e-07,2.84263e-10,,2.3,R5,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma2.3_AoA8_R5_rhoCentralFoam,0.0016544864339,0.6320212098,0.11377051493,0.3669815,0.5168683,4.300947,0.367228412,0.5171088899999999,4.30126042,50,1,36616.3,2707.0,rhoCentralFoam,0.0739288240483063,2023-10-30 12:51:47,1.0333800000000001e-07,1,1.0,,1,7.106260000000001e-07,4.3542800000000004e-08,4.42077e-07,1.0,,2.3355800000000006e-07,2.56899e-10,,2.3,R5,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma4.63_AoA0_R5_rhoCentralFoam,0.00053257379875,0.14198577093,0.031154694902,0.1845424,5.85437e-05,5.731523e-05,0.184810024,6.277263520000001e-05,0.0001173028243999,50,1,31563.3,2104.0,rhoCentralFoam,0.0666596965463053,2023-10-31 07:52:50,3.14382e-08,1,1.0,,1,5.610070000000001e-07,1.2193e-08,6.69957e-07,1.0,,3.1283e-06,1.7266499999999996e-09,,4.63,R5,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma4.63_AoA16_R5_rhoCentralFoam,0.00022954983501,0.35970017183,0.034233725294,0.2096738,2.723382,11.1569,0.2092370099999999,2.7232115,11.154706999999998,50,1,60339.5,4178.0,rhoCentralFoam,0.0692415416103878,2023-09-20 08:35:13,7.82165e-08,1,1.0,,1,6.013490000000002e-07,3.42993e-08,2.32589e-06,1.0,,1.26533e-07,6.778919999999998e-10,,4.63,R5,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R5\Ma4.63_AoA8_R5_rhoCentralFoam,0.00035781118946,0.186689259,0.0280836355,0.1697738,0.8293848,4.644333,0.170077548,0.8297286239999999,4.645680260000001,50,1,45633.1,2666.0,rhoCentralFoam,0.0584225047169707,2023-09-11 20:44:12,4.08538e-08,1,1.0,,1,4.02295e-07,1.80074e-08,6.60391e-06,1.0,,1.06987e-07,1.89031e-09,,4.63,R5,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma0.6_AoA0_R1_rhoCentralFoam,0.22050501735,74.663257135,33.025214814,0.3728271,0.0001100229,-0.002218252,0.3726935939999999,0.0006370453274,-0.0012690886113999,50,1,38350.2,5712.0,rhoCentralFoam,0.1489431606614828,2023-10-10 13:06:22,4.45981e-10,1,,,1,4.46215e-10,1.0586699999999996e-09,1.6424e-08,1.0,,1.5642100000000002e-07,9.61482e-08,,0.6,R1,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma0.6_AoA16_R1_rhoCentralFoam,0.46770045298,81.935338539,34.427322767,0.4339564,1.333276,9.275437,0.43387928,1.33308456,9.27274312,50,1,4283.46,15835.0,rhoCentralFoam,3.696777838476372,2023-10-16 06:59:51,4.75093e-10,1,,,1,1.7630799999999999e-09,1.2991099999999999e-09,4.33641e-09,1.0,,1.40911e-09,1.28509e-08,,0.6,R1,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma0.6_AoA8_R1_rhoCentralFoam,0.54110424757,77.764012042,33.595788029,0.4333038,0.5787691,4.381366,0.433455774,0.5780298099999999,4.376235740000001,50,1,72480.9,12651.0,rhoCentralFoam,0.1745425346539571,2023-10-13 09:12:45,4.744620000000001e-10,1,,,1,1.2904999999999996e-09,1.1474e-09,5.41312e-09,1.0,,2.6581499999999996e-09,2.4549e-08,,0.6,R1,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.0_AoA0_R1_rhoCentralFoam,0.28500687566,63.677453697,29.261453825,0.4833237,0.0003962679,0.00231043,0.48338347,0.0002537498622,0.0007344025276,50,1,44990.3,8389.0,rhoCentralFoam,0.1864624152317277,2023-10-20 03:45:48,9.71418e-10,1,,,1,1.19165e-09,1.85821e-09,4.07907e-09,1.0,,3.553700000000001e-07,2.0129500000000002e-08,,1.0,R1,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.0_AoA16_R1_rhoCentralFoam,0.29768154673,68.238962793,30.729392341,0.5735714,1.315045,9.072509,0.573822686,1.3150084999999998,9.070279200000002,50,1,1565.86,5920.0,rhoCentralFoam,3.7806700471306502,2023-10-21 22:53:12,9.84368e-10,1,,,1,3.578849999999999e-09,1.87536e-09,9.96309e-09,1.0,,3.2865899999999995e-09,2.63805e-08,,1.0,R1,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.0_AoA8_R1_rhoCentralFoam,0.2611646034,65.718291499,30.209208881,0.5454354,0.5479229,4.152757,0.545416056,0.5478887379999999,4.1523851,50,1,1636.78,6725.0,rhoCentralFoam,4.10867679223842,2023-10-20 19:06:07,9.826329999999999e-10,1,,,1,2.60464e-09,1.7727699999999999e-09,8.107179999999999e-09,1.0,,5.13113e-09,2.55923e-08,,1.0,R1,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.5_AoA0_R1_rhoCentralFoam,0.15147905706,58.351160242,25.244219159,0.4688314,0.0002088525,0.0005019417,0.4682334959999999,5.656179266000001e-05,-8.493225459999998e-05,50,1,988.37,4768.0,rhoCentralFoam,4.824104333397412,2023-10-28 10:57:18,1.89338e-09,1,,,1,2.42434e-09,3.20252e-09,5.192299999999999e-09,1.0,,4.958840000000001e-07,1.2485800000000001e-08,,1.5,R1,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.5_AoA16_R1_rhoCentralFoam,0.2839674101,63.821250764,25.846826494,0.5125907,1.490815,10.07028,0.512719346,1.49092792,10.0699666,50,1,1185.62,5656.0,rhoCentralFoam,4.770499822877483,2023-10-29 05:41:49,1.96673e-09,1,,,1,6.413329999999999e-09,2.7895199999999997e-09,1.12748e-08,1.0,,4.5006299999999996e-09,6.942349999999999e-09,,1.5,R1,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma1.5_AoA8_R1_rhoCentralFoam,0.21711930933,62.742070185,26.081811783,0.494941,0.5534012,4.318828,0.4945210519999999,0.5533770319999999,4.31740456,50,1,993.37,4777.0,rhoCentralFoam,4.808882893584465,2023-10-28 20:30:35,1.7999799999999996e-09,1,,,1,5.5894899999999995e-09,2.7619099999999996e-09,8.00948e-09,1.0,,4.96017e-09,1.1191800000000001e-08,,1.5,R1,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma2.3_AoA0_R1_rhoCentralFoam,0.059901840053,51.207404876,19.101525131,0.3343723,0.000155564,0.0004656231,0.3340983799999999,0.0001122712796,-0.0001811143442,50,1,815.07,4011.0,rhoCentralFoam,4.921049725790422,2023-10-29 15:13:24,2.6045899999999996e-09,1,,,1,1.0135e-08,4.22487e-09,4.34563e-09,1.0,,8.014550000000001e-07,1.8536199999999999e-09,,2.3,R1,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma2.3_AoA16_R1_rhoCentralFoam,0.061615310637,68.066344152,18.967804856,0.3724649,2.707773,13.26981,0.3724965699999999,2.70869638,13.2743762,50,1,1030.23,4975.0,rhoCentralFoam,4.82901876280054,2023-10-30 13:09:35,1.89236e-09,1,,,1,6.328169999999999e-09,2.6102999999999996e-09,1.02767e-08,1.0,,3.51761e-09,9.188179999999999e-10,,2.3,R1,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma2.3_AoA8_R1_rhoCentralFoam,0.24673529108,61.359967254,19.80727312,0.3552896,0.6135702,4.53046,0.3553208879999999,0.613325518,4.52949204,50,1,987.02,4873.0,rhoCentralFoam,4.937083341776256,2023-10-30 02:31:46,2.27385e-09,1,,,1,1.11371e-08,3.5131399999999997e-09,6.350039999999999e-09,1.0,,7.595629999999999e-09,1.32113e-09,,2.3,R1,8,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma4.63_AoA0_R1_rhoCentralFoam,0.015771449148,46.173449754,12.476657756,0.3195645,8.835841e-06,-3.817778e-05,0.338162764,1.0054603e-05,-3.8813642e-05,50,0,411.6,2062.0,rhoCentralFoam,5.009718172983479,2023-10-30 22:57:50,5.46403e-11,1,,,1,2.6525599999999998e-09,4.35035e-10,6.09812e-09,0.0,,2.7112300000000004e-07,1.31198e-11,,4.63,R1,0,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma4.63_AoA16_R1_rhoCentralFoam,0.024848290028,74.565529266,14.030587688,0.3857619,3.136992,12.16253,0.3915336059999999,3.14749608,12.188580999999996,50,0,997.38,5124.0,rhoCentralFoam,5.137460145581423,2023-09-18 21:58:39,1.4383099999999999e-11,1,,,1,4.07355e-10,1.04613e-10,1.13491e-09,0.0,,5.75008e-11,2.2973300000000007e-12,,4.63,R1,16,rhoCentralFoam
D:\sim\rhoCentralFoam\R1\Ma4.63_AoA8_R1_rhoCentralFoam,0.017506516898,62.911829349,12.350523082,0.3242528,1.105845,5.33025,0.3390223580000001,1.1211114400000002,5.363557719999999,50,1,410.55,2055.0,rhoCentralFoam,5.005480453050786,2023-09-11 02:46:25,5.45786e-11,1,,,1,1.0949499999999996e-09,4.2054999999999996e-10,4.75483e-09,1.0,,3.38664e-10,1.07075e-11,,4.63,R1,8,rhoCentralFoam
D:\sim\rhoPimpleFoam\R5\Ma0.6_AoA0_R5_rhoPimpleFoam,0.00093245621275,1.1803538764,0.24038012237,0.222900336,-0.000954716682,0.00545030675,0.22375211594,-0.00095085160634,0.0055112151906,50,1,46704.3,2051.0,rhoPimpleFoam,0.0439145860231284,2023-10-23 21:26:37,1.6409172e-07,1,1.0,5.5631773e-07,1,6.5890615e-07,1.2174863000000001e-08,9.9461412e-09,,1.0,8.7932487e-05,4.7788006e-12,,0.6,R5,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma0.6_AoA16_R5_rhoPimpleFoam,0.0010738619752,1.4887426973,0.26197312068,0.316232422,1.10430661,7.85961444,0.31603300882,1.1039031544,7.860488739799998,50,1,103610.95,4237.0,rhoPimpleFoam,0.0408933611746634,2023-10-26 22:20:01,8.3682363e-08,1,1.0,9.1714725e-07,1,1.6854223000000004e-07,9.6552467e-09,1.8980674000000002e-08,,1.0,4.1605272e-08,1.3770696e-12,,0.6,R5,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma0.6_AoA8_R5_rhoPimpleFoam,0.0017506929932,1.3112115953,0.24627323452,0.314533816,0.243557381,3.32465962,0.314338851,0.24331459306,3.3265665144,50,1,24976.37,1081.0,rhoPimpleFoam,0.0432809091152957,2023-10-24 15:22:55,9.7291547e-08,1,1.0,4.065697600000001e-07,1,3.6144548e-07,1.0374171e-08,1.3058162e-08,,1.0,1.0054784000000001e-07,2.9335236000000007e-12,,0.6,R5,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.0_AoA0_R5_rhoPimpleFoam,0.00075909420744,1.1071158442,0.21451905433,0.359137431,0.000344159507,-0.001711207,0.3590678499400001,0.00034321950016,-0.0017244980732,50,1,24498.0,1051.0,rhoPimpleFoam,0.0429014613437831,2023-10-25 14:48:00,5.0663127e-08,1,1.0,2.5853391e-07,1,7.0093298e-07,6.8696233999999995e-09,2.9522176999999996e-09,,1.0,1.9693551e-05,1.1182848000000001e-12,,1.0,R5,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.0_AoA16_R5_rhoPimpleFoam,0.0013867194337,1.3214579164,0.24128315514,0.48228594,0.920892426,7.87287013,0.48207451156,0.9210436415200002,7.8777501594000015,50,1,27089.88,1186.0,rhoPimpleFoam,0.0437801865493682,2023-10-27 15:12:49,6.5613526e-08,1,1.0,7.627488e-07,1,2.1344493000000005e-07,8.755693999999998e-09,8.471422099999999e-09,,1.0,5.5990031e-08,1.2675658e-12,,1.0,R5,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.0_AoA8_R5_rhoPimpleFoam,0.0011390537718,1.239452708,0.2252795194,0.428976597,0.292319735,3.54861876,0.4295202998999999,0.2931228543599999,3.5525437652000007,50,1,24479.82,1051.0,rhoPimpleFoam,0.0429333222221405,2023-10-27 06:34:46,4.2112976e-08,1,1.0,2.2548749000000002e-07,1,3.250102500000001e-07,6.9192716999999995e-09,5.266706899999999e-09,,1.0,6.3466527e-08,1.1866612e-12,,1.0,R5,8,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.5_AoA0_R5_rhoPimpleFoam,0.0011924804987,0.92914363823,0.16090020725,0.298326148,-0.000480559558,0.00443664473,0.2977057663399999,-0.000207285447448,0.0036508701651999,50,1,23923.55,1051.0,rhoPimpleFoam,0.0439316071402446,2023-09-16 03:08:57,1.6543604e-06,1,1.0,1.4257571e-05,1,2.4233757e-06,3.1475347000000004e-08,6.263758799999999e-09,,1.0,9.5475016e-05,3.2860841e-12,,1.5,R5,0,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.5_AoA16_R5_rhoPimpleFoam,0.0010376889187,1.2325825444,0.2038403383,0.420350374,1.85214609,10.2576969,0.42047768118,1.851551831,10.248420136,50,1,51940.39,2501.0,rhoPimpleFoam,0.0481513519632794,2023-09-13 06:47:09,1.7728829e-06,1,1.0,0.00043223487,1,3.870268500000001e-07,2.9560788e-08,3.4173159e-09,,1.0,8.361067199999998e-08,1.0719626e-11,,1.5,R5,16,rhoPimpleFoam
D:\sim\rhoPimpleFoam\R5\Ma1.5_AoA8_R5_rhoPimpleFoam,0.0019343771894,1.1288116057,0.19382612959,0.413344918,0.400437836,3.50877543,0.41357434056,0.39993011106,3.503444444200001,50,1,37032.65,1706.0,rhoPimpleFoam,0.0460674566902449,2023-09-12 16:09:26,1.2770212e-06,1,1.0,3.3194827e-05,1,6.7624838e-07,2.5917569e-08,2.8904913999999996e-09,,1.0,1.470777e-07,3.2182232000000002e-12,,1.5,R5,8,rhoPimpleFoam
