AoA,M1.0_CN-ALPHA,M0.6_CN-ALPHA,M4.63_CN-ALPHA,M2.3_CN-ALPHA,M1.5_CN-ALPHA
10.2,0.7898816522124077,0.6336885080416724,1.5741487677818913,1.029261500459849,0.7954446608104315
10.3,0.8008512807308694,0.6468976084153393,1.595480524678789,1.0503203571008832,0.8095053490027858
10.400000000000002,0.8118799606724687,0.6602165918552685,1.6168735370192022,1.0716349040281645,0.8236950664058909
10.5,0.8229709684789712,0.673641811717644,1.638329304832087,1.0932010327770678,0.8380134991357352
10.600000000000001,0.8341275805921441,0.6871696213586513,1.659849328146401,1.1150146348829706,0.8524603333083093
10.7,0.8453530734537528,0.7007963741344738,1.6814351069910989,1.1370716018812463,0.867035255039601
10.8,0.8566507235055639,0.7145184234012975,1.7030881413951389,1.1593678253072728,0.8817379504456009
10.900000000000002,0.8680238071893437,0.7283321225153057,1.7248099313874754,1.181899196696425,0.8965681056422975
11.0,0.8794756009468577,0.7422338248326829,1.7466019769970655,1.2046616075840775,0.9115254067456795
11.100000000000001,0.8910093812198732,0.7562198837096145,1.7684657782528663,1.2276509495056078,0.9266095398717372
11.200000000000003,0.9026284244501556,0.7702866525022842,1.7904028351838335,1.2508631139963902,0.9418201911364593
11.3,0.9143360070794709,0.7844304845668767,1.8124146478189227,1.2742939925918002,0.9571570466558345
11.400000000000002,0.926135405549586,0.7986477332595768,1.8345027161870917,1.2979394768272146,0.9726197925458528
11.5,0.9380298963022664,0.8129347519365683,1.8566685403172953,1.321795458238008,0.9882081149225027
11.600000000000001,0.9500227557792792,0.8272878939540369,1.8789136202384913,1.3458578283595577,1.0039216999017742
11.700000000000003,0.96211726042239,0.8417035126681666,1.9012394559796357,1.3701224787272377,1.0197602335996563
11.8,0.9743166866733645,0.856177961435141,1.9236475475696837,1.3945853008764237,1.035723402132137
11.900000000000002,0.9866243109739701,0.8707075936111459,1.9461393950375931,1.4192421863424927,1.0518108916152076
12.0,0.9990434097659717,0.8852887625523649,1.9687164984123189,1.4440890266608184,1.0680223881648554
12.100000000000001,1.0115772594911367,0.8999178216149832,1.9913803577228186,1.4691217133667789,1.0843575778970709
12.200000000000003,1.0242291365912306,0.9145911241551854,2.0141326810255045,1.4943361379957485,1.100816146927843
12.3,1.0370023175080194,0.9293050235291547,2.0369780476336596,1.519728192083102,1.1173977813731604
12.400000000000002,1.0499000786832702,0.9440559024343173,2.0599231298336513,1.545293767164217,1.1341021673490128
12.5,1.062925452066671,0.9588421486886719,2.0829746473886175,1.5710287547744675,1.1509290039411726
12.600000000000001,1.0760796003120496,0.9736654075312217,2.1061393200616996,1.5969290464492305,1.167879935581789
12.700000000000003,1.0893628232154156,0.9885276226394135,2.1294238676160364,1.6229906542524768,1.1849606061618199
12.8,1.1027754159364855,1.0034307376906946,2.1528350098147664,1.6492168219638947,1.2021771515557564
12.900000000000002,1.1163176736349776,1.0183766963625145,2.1763794664210305,1.675622002522541,1.2195357076380922
13.0,1.1299898914706072,1.0333674423323194,2.200063957197967,1.7022216130962302,1.237042410283318
13.100000000000001,1.1437923646030927,1.0484049192775582,2.223895201908717,1.7290310708527814,1.2547033953659275
13.200000000000003,1.1577253881921505,1.0634910708756784,2.2478799203164193,1.7560657929600105,1.2725247987604118
13.3,1.1717892573974968,1.0786278408041277,2.272024832184212,1.783341196585734,1.2905127563412622
13.400000000000002,1.1859842673788497,1.093817172740354,2.296336657275237,1.8108726988977697,1.3086734039829728
13.5,1.200310713295925,1.1090610103618048,2.320822115352633,1.8386757170639334,1.3270128775600338
13.600000000000001,1.2147688903084408,1.124361297345929,2.3454879261795387,1.8667656682520435,1.345537312946939
13.700000000000003,1.2293590935761134,1.1397199773701736,2.370340809519095,1.8951579696299161,1.36425284601818
13.8,1.2440816182586594,1.1551389941119858,2.395387485134439,1.923868038365367,1.3831656126482479
13.900000000000002,1.2589367595157963,1.1706202912488153,2.420634672788714,1.9529112916262152,1.4022817487116361
14.0,1.2739248125072402,1.1861658124581078,2.4460890922450553,1.9823031465802756,1.4216073900828359
14.100000000000001,1.289046072392709,1.2017775014173129,2.4717574059787246,2.0120590203953674,1.4411486726363403
14.200000000000003,1.3043008343319193,1.2174573018038777,2.4976421935442894,2.0421943302393064,1.4609117322466407
14.3,1.3196893934845875,1.2332071572952494,2.523739303838185,2.0727244932799076,1.480902704788229
14.400000000000002,1.3352120450104314,1.2490290115688771,2.550043957083248,2.1036649266849907,1.5011277261355984
14.5,1.3508690840691668,1.2649248083022073,2.576551373502314,2.135031047622371,1.5215929321632395
14.600000000000001,1.3666608058205119,1.2808964911726892,2.6032567733182193,2.166838273259867,1.542304458745646
14.700000000000003,1.3825875054241832,1.29694600385777,2.6301553767538013,2.199102020765294,1.563268449701216
14.8,1.3986494780398964,1.3130752900348972,2.657242404031895,2.2318377073064686,1.5844925187354306
14.900000000000002,1.4148470188273703,1.3292862933815193,2.6845130753753375,2.2650595784885015,1.6059874596306176
15.0,1.43118042294632,1.345580957575083,2.7119626110069635,2.298768260500008,1.627764481453825
15.100000000000001,1.4476499855564644,1.3619612262930378,2.7395862311496106,2.3329555928092933,1.6498347932721045
15.200000000000003,1.464256001817519,1.3784290432128303,2.7673791560261156,2.3676132684393214,1.6722096041525047
15.3,1.4809987668892006,1.3949863520119083,2.7953366058593123,2.402732980413055,1.694900123162075
15.400000000000002,1.4978785759312274,1.4116350963677207,2.82345380087204,2.43830642175346,1.7179175593678668
15.5,1.5148957241033145,1.4283772199577138,2.8517259612871313,2.4743252854834994,1.741273121836928
15.600000000000001,1.5320505065651808,1.4452146664593373,2.880148307327426,2.5107812646261385,1.7649780196363103
15.700000000000003,1.5493432184765423,1.4621493795500378,2.9087160592157586,2.5476660522043417,1.789043461833063
15.8,1.5667741549971153,1.4791833029072625,2.9374244371749643,2.584971341241071,1.8134806574942341
15.900000000000002,1.5843436112866176,1.4963183802084608,2.966268661427882,2.622688824759294,1.8383008156868763
16.0,1.6020518825047656,1.5135565551310795,2.9952439521973453,2.6608101957819708,1.8635151454780365
16.1,1.6198992638112766,1.5308997713525672,3.024345529706192,2.69932714733207,1.8891348559347674
16.200000000000003,1.6378860503658677,1.548349972550371,3.0535686141772582,2.7382313724325535,1.9151711561241171
16.3,1.6560125373282546,1.565909102401939,3.0829084258333785,2.7775145641063843,1.9416352551131353
16.400000000000002,1.6742790198581556,1.5835791045847192,3.112360184897392,2.8171684153765297,1.9685383619688726
16.5,1.6926857931152868,1.6013619227761586,3.141919111592131,2.8571846192659516,1.995891685758378
16.6,1.7112331522593658,1.619259500653707,3.1715804261404363,2.897554868797615,2.0237064355487027
16.700000000000003,1.7299213924501093,1.6372737818948102,3.201339348765141,2.9382708569944858,2.0519938204068953
16.8,1.7487508088472337,1.6554067101769165,3.231191099689082,2.9793242768795243,2.0807650494000045
16.900000000000002,1.7677216966104563,1.6736602291774747,3.2611308991350962,3.0207068214756982,2.1100313315950836
17.0,1.7868343508994937,1.6920362825739312,3.291153967326018,3.0624101838059694,2.1398038760591787
17.1,1.806089066874064,1.7105368140437356,3.321255524484686,3.104426056893305,2.1700938918593433
17.200000000000003,1.8254861396938828,1.7291637672643343,3.3514307908339354,3.146746133760667,2.2009125880626246
17.3,1.8450258645186668,1.747919085913175,3.381674986596601,3.189362107431019,2.232271173736071
17.400000000000002,1.8647085365081344,1.7668047136677067,3.411983331995522,3.2322656709273274,2.2641808579467364
17.5,1.884534450822001,1.7858225942053765,3.4423510472535317,3.275448517272554,2.2966528497616676
17.6,1.904503902619985,1.8049746712036325,3.4727733525934683,3.3189023394896666,2.3296983582479163
17.700000000000003,1.9246171870618023,1.8242628883399223,3.503245468238168,3.362618830601626,2.363328592472531
17.8,1.9448745993071694,1.8436891892916938,3.5337626144104646,3.406589683631397,2.3975547615025614
17.900000000000002,1.9652764345158047,1.8632555177363952,3.564320011333197,3.450806591601946,2.4323880744050586
18.0,1.9858229878474236,1.8829638173514731,3.5949128792291996,3.495261247536234,2.4678397402470704
18.1,2.006514554461744,1.9028160318143774,3.6255364383213107,3.5399453444572284,2.503920968095649
18.200000000000003,2.027351429518483,1.9228141048025544,3.6561859088323647,3.5848505753878923,2.540642967017843
18.3,2.0483339081773564,1.9429599799934516,3.6868565109851987,3.6299686333511882,2.5780169460807016
18.400000000000002,2.0694622855980818,1.9632556010645188,3.717543465002649,3.675291211370083,2.6160541143512765
18.5,2.0907368569403757,1.983702911693201,3.74824199110755,3.720810002467538,2.654765680896615
18.6,2.112157917363956,2.004303855556949,3.77894730952274,3.766516699666521,2.6941628547837695
18.700000000000003,2.1337257620285395,2.025060376333209,3.8096546404710554,3.812402995989994,2.734256845079788
18.8,2.1554406860938418,2.045974417699428,3.8403592041753307,3.85846058446092,2.7750588608517206
18.900000000000002,2.1773029847195806,2.0670479233330568,3.8710562208584034,3.904681158102267,2.816580111166618
19.0,2.1993129530654727,2.0882828369115396,3.901740910743109,3.951056409936995,2.8588318050915285
19.1,2.2214708862912356,2.1096811021123267,3.932408494052285,3.9975780329880712,2.901825151693504
19.200000000000003,2.2437770795565863,2.1312446626128656,3.9630541910087658,4.044237720278461,2.945571360039593
19.3,2.26623182802124,2.152975462090603,3.9936732218353876,4.091027164831123,2.9900816391968443
19.400000000000002,2.2888354268449156,2.1748754442229883,4.024260806754989,4.137938059669027,3.0353671982323105
19.5,2.3115881711873287,2.196946552687468,4.054812165990405,4.184962097815133,3.081439246213038
19.6,2.334490356208198,2.2191907311614907,4.08532251976447,4.2320909722924105,3.12830899220608
19.700000000000003,2.3575422770672385,2.241609923322504,4.115787088300023,4.279316376123819,3.175987645278485
19.8,2.380744228924167,2.2642060728479554,4.146201091819898,4.326630002332323,3.224486414497301
19.900000000000002,2.4040965069387026,2.286981123415293,4.176559750546933,4.374023543940891,3.2738165089295803
20.0,2.4275994062705593,2.309937018701965,4.206858284703962,4.421488693972483,3.3239891376423714
20.1,2.451253222079457,2.3330757023854187,,4.469017145450064,3.3750155097027252
20.200000000000003,2.475058249525111,2.356399118143103,,4.5166005913966,3.426906834177691
20.3,2.499014783767237,2.3799092096524634,,4.564230724835053,3.4796743201343174
20.400000000000002,2.5231231199655544,2.403607920590951,,4.611899238788389,3.5333291766396564
20.5,2.547383553279779,2.4274971946360107,,4.65959782627957,3.5878826127607546
20.6,2.5717963788696276,2.451578975465092,,4.707318180331564,3.6433458375646666
20.700000000000003,2.596361891894818,2.475855206755642,,4.7550519939673315,3.6997300601184393
20.8,2.6210803875150646,,,4.802790960209838,3.7570464894891202
20.900000000000002,2.645952160890088,,,4.850526772082049,3.8153063347437643
21.0,2.670977507179602,,,4.8982511226069265,3.874520804949416
21.1,,,,4.945955704807437,3.9347011091731305
21.200000000000003,,,,4.993632211706544,3.9958584564819555
21.3,,,,5.041272336327209,4.058004055942938
21.400000000000002,,,,,
21.5,,,,,
21.6,,,,,
21.700000000000003,,,,,
21.8,,,,,
21.900000000000002,,,,,
22.0,,,,,
22.1,,,,,
22.200000000000003,,,,,
22.3,,,,,
22.400000000000002,,,,,
22.5,,,,,
22.6,,,,,
22.700000000000003,,,,,
22.8,,,,,
22.900000000000002,,,,,
23.0,,,,,
23.1,,,,,
23.200000000000003,,,,,
23.3,,,,,
23.400000000000002,,,,,
23.5,,,,,
23.6,,,,,
23.700000000000003,,,,,
23.8,,,,,
23.900000000000002,,,,,
24.0,,,,,
