AoA,M1.0_CN-ALPHA,M0.6_CN-ALPHA,M4.63_CN-ALPHA,M2.3_CN-ALPHA,M1.5_CN-ALPHA
-8.0,,,,,
-7.9,,,,,
-7.8,,,,,
-7.7,,,,,
-7.6,,,,,
-7.5,,,,,
-7.4,,,,,
-7.3,,,,,
-7.2,,,,,
-7.1,,,,,
-7.0,,,,,
-6.9,,,,,
-6.8,,,,,
-6.7,,,,,
-6.6,,,,,
-6.5,,,,,
-6.4,,,,,
-6.3,,,,,
-6.2,,,,,
-6.1,,,,,
-6.0,,,,,
-5.9,,,,,
-5.8,,,,,
-5.699999999999999,,,,,
-5.6,,,,,
-5.5,,,,,
-5.4,,,,,
-5.3,,,,,
-5.199999999999999,,,,,
-5.1,,,,,
-5.0,,,,,
-4.9,,,,,
-4.8,,,,,
-4.699999999999999,,,,,
-4.6,,,,,
-4.5,,,,,
-4.4,,,-0.25792203303271627,,
-4.3,,,-0.23746902526031008,,
-4.199999999999999,,,-0.21857436476165018,-0.21071461114356518,
-4.1,,,-0.20116417497976308,-0.20591848446281366,
-4.0,,,-0.18516457935767483,-0.20090627115247736,-0.12754826840787867
-3.8999999999999995,,,-0.17050170133841164,-0.19569331830408937,-0.11534077584657829
-3.8,,,-0.15710166436500012,-0.1902949730091829,-0.10437622499961827
-3.7,,,-0.14489059188046632,-0.1847265823592911,-0.09458840126440624
-3.5999999999999996,,,-0.13379460732783655,-0.17900349344594707,-0.0859110900383499
-3.5,,,-0.12373983415013724,-0.17314105336068403,-0.07827807671885716
-3.3999999999999995,,,-0.11465239579039455,-0.16715460919503505,-0.07162314670333562
-3.3,,,-0.10645841569163493,-0.16105950804053334,-0.06588008538919317
-3.1999999999999993,,,-0.09908401729688451,-0.15487109698871196,-0.06098267817383745
-3.0999999999999996,-0.052323606455759224,,-0.09245532404916973,-0.1486047231311042,-0.05686471045467631
-3.0,-0.04652533760395113,-0.21212121212121215,-0.0864984593915168,-0.14227573355924317,-0.05345996762911745
-2.8999999999999995,-0.04083210854262091,-0.21033870045038822,-0.08113954676695198,-0.1358994753646619,-0.0507022350945686
-2.8,-0.03524968308520469,-0.20815820050223202,-0.07630470961850172,-0.12949129563889367,-0.0485252982484376
-2.6999999999999993,-0.02978382504513838,-0.2056052995338426,-0.07192007138919213,-0.12306654147347153,-0.046862942488132116
-2.5999999999999996,-0.024440298235858107,-0.20270558480231915,-0.06791175552204971,-0.11664055995992872,-0.04564895321105995
-2.5,-0.019224866470799837,-0.1994846435647608,-0.06420588546010059,-0.1102286981897984,-0.04481711581462887
-2.3999999999999995,-0.014143293563399563,-0.1959680630782667,-0.06072858464637114,-0.10384630325461355,-0.044301215696246586
-2.3,-0.009201343327093381,-0.19218143059993592,-0.05740597652388765,-0.09750872224590754,-0.04403503825332087
-2.1999999999999993,-0.004404779575317226,-0.18815033338686762,-0.05416418453567638,-0.09123130225521334,-0.04395236888325947
-2.0999999999999996,0.00024063387849278822,-0.18390035869616095,-0.0509293321247637,-0.08502939037406422,-0.04398699298347014
-2.0,0.004729133220900686,-0.17945709378491503,-0.04762754273417585,-0.0789183336939933,-0.04407269595136072
-1.8999999999999995,0.009054954638470482,-0.1748461259102289,-0.044184939806939126,-0.07291347930653365,-0.04414326318433883
-1.7999999999999998,0.01321233431776608,-0.1700930423292019,-0.04052764678607987,-0.06703017430321853,-0.044132480079812304
-1.6999999999999993,0.017195508445351535,-0.1652234302989329,-0.03658178711462431,-0.061283765775581,-0.043974132035188865
-1.5999999999999996,0.020998713207790745,-0.1602628770765213,-0.03227348423559883,-0.055689600815154304,-0.04360200444787629
-1.5,0.024616184791647733,-0.155236969919066,-0.027528861592029684,-0.05026302651347153,-0.04294988271528232
-1.3999999999999995,0.028042159383486503,-0.1501712960836662,-0.022274042626943127,-0.04501938996206578,-0.041951552234814705
-1.2999999999999998,0.031270873169870976,-0.14509144282742112,-0.01643515078336554,-0.03997403825247031,-0.04054079840388122
-1.1999999999999993,0.034296562337365194,-0.14002299740742977,-0.009950488423237468,-0.035142318476218175,-0.03865140661988959
-1.0999999999999996,0.03711346307253306,-0.13499154708079136,-0.0028887469367614334,-0.030539577724842597,-0.03621716228024761
-1.0,0.039715811561938597,-0.130022679104605,0.004602286296971028,-0.026178721039156635,-0.033171850782363003
-0.8999999999999995,0.042097843992145806,-0.12514198073596974,0.01237371409488233,-0.022028813765446853,-0.029449257523643503
-0.7999999999999998,0.04425379654971862,-0.12037503923198489,0.020276639273894677,-0.01802100108641886,-0.02501486251442509
-0.6999999999999993,0.046177905421221056,-0.11574744184974937,0.028162164650930552,-0.014085177854809467,-0.019964462169388325
-0.5999999999999996,0.04786440679321703,-0.11128477584636248,0.03588139304291216,-0.010151238923355605,-0.014427341036238741
-0.5,0.04930753685227059,-0.10701262847892329,0.0432854272667619,-0.006149079144794109,-0.008532783687841931
-0.39999999999999947,0.0505015317849457,-0.10295658700453086,0.05022537013940219,-0.0020085933718618195,-0.0024100746970634906
-0.2999999999999998,0.0514406277778063,-0.09914223868028442,0.05655232447775524,0.0023403235427043277,0.003811501363230832
-0.1999999999999993,0.0521190610174164,-0.09559517076328305,0.062138345834141795,0.006967776746167535,0.010002659920175504
-0.09999999999999964,0.05253106769033998,-0.09234097051062592,0.06703270448639263,0.011943871385790849,0.016034116400904772
0.0,0.0,0.0,0.0,0.0,0.0
0.09999999999999964,0.052558731010666514,-0.08678212490813886,0.07530062236563198,0.023099786894858997,0.027100784842254685
0.20000000000000107,0.05222871891663301,-0.0844490779730664,0.07895228835001357,0.029121359574265804,0.03188248359674783
0.3000000000000007,0.05171999629347777,-0.08237740478404534,0.08246783020249834,0.03527249301515394,0.03609791899911595
0.40000000000000036,0.0510706462972412,-0.08053971309844357,0.08598630130178286,0.04142783534854401,0.03981571770189175
0.5,0.05031875208396371,-0.07890861067362899,0.08964675502656362,0.04746203470545647,0.04310794374456698
0.5999999999999996,0.04950239680968571,-0.07745670526696953,0.09358824475553716,0.0532497392169118,0.046046661166633404
0.7000000000000011,0.04865966363044759,-0.0761566046358331,0.09794982386740002,0.05866559701393057,0.04870393400758281
0.8000000000000007,0.04782863570228978,-0.07498091653758764,0.102869838043776,0.0635842562275331,0.05115182630690685
0.9000000000000004,0.0470473961812527,-0.07390224872960109,0.10841945012212631,0.06788036498873991,0.053462402104097355
1.0,0.046354028223376725,-0.07289320896924133,0.11454824832328442,0.07142857142857151,0.05570772543864606
1.0999999999999996,0.04578661498470229,-0.0719264050138763,0.1211930201208398,0.07415103936678691,0.05795986035004472
1.200000000000001,0.04538323962126977,-0.0709744446208739,0.1282905529883821,0.07615999537809924,0.06028827381040167
1.3000000000000007,0.04518198528911961,-0.07000993554760208,0.13577763439950058,0.07761518172596012,0.06272701992229603
1.4000000000000004,0.04522093514429221,-0.06900548555142876,0.1435910518277849,0.07867634067382125,0.06528455382734065
1.5,0.04553817234282796,-0.06793370238972184,0.1516675927468245,0.07950321448513425,0.06796876141058059
1.6000000000000014,0.04617178004076731,-0.06676719381984922,0.15994404463020914,0.08025554542335084,0.07078752855706094
1.700000000000001,0.047159841394150616,-0.06547856759917887,0.16835719495152796,0.08109307575192261,0.07374874115182667
1.8000000000000007,0.04854043955901831,-0.06404043148507871,0.17684437305593526,0.08217554773430123,0.07686028507992283
1.9000000000000004,0.0503516576914108,-0.06242539323491661,0.1853728840816713,0.08366270363393839,0.08013004622639451
2.0,0.052631578947368474,-0.06060606060606055,0.19395509303880804,0.08571428571428574,0.0835659104762867
2.1000000000000014,0.055408303208865826,-0.0585593208312113,0.20260708163447966,0.08845706576340132,0.08717576371464456
2.200000000000001,0.05866999726161315,-0.05627917904440141,0.21134493157581985,0.09188593366776826,0.09096665459545868
2.3000000000000007,0.06239484461725489,-0.0537639198549963,0.22018472456996288,0.0959628088384763,0.09493744387100063
2.4000000000000004,0.06656102878743547,-0.05101182787236138,0.2291425423240427,0.100649610686615,0.09908236141175959
2.5,0.07114673328379932,-0.048021187705862035,0.23823446654519342,0.105908258623274,0.10339558452928427
2.6000000000000014,0.07613014161799089,-0.044790283964863654,0.2474765789405492,0.111700672059543,0.10787129053512334
2.700000000000001,0.08148943730165444,-0.041317401258731755,0.25688496121724375,0.11798877040651141,0.11250365674082535
2.8000000000000007,0.08720280384643446,-0.037600824196831695,0.26647569508241126,0.12473447307526894,0.11728686045793905
2.9000000000000004,0.09324842476397535,-0.033638837388528894,0.2762648622431858,0.13189969947690522,0.12221507899801311
3.0,0.09960448356592153,-0.029429725443188767,0.28626854440670135,0.13944636902250987,0.12728248967259614
3.1000000000000014,0.10624916376391756,-0.024971772970176654,0.29650282328009225,0.1473364011231726,0.13248326979323696
3.200000000000001,0.11316064886960753,-0.020263264578858124,0.306983780570492,0.15553171518998277,0.13781159667148407
3.3000000000000007,0.12031712239463603,-0.015302484878598508,0.31772749798503497,0.16399423063403012,0.14326164761888613
3.4000000000000004,0.12769676785064749,-0.010087718478763236,0.32875005723085515,0.1726858668664043,0.14882759994699193
3.5,0.13527776874928624,-0.004617249988717722,0.3400675400150866,0.18156854329819488,0.15450363096735006
3.6000000000000014,0.14303830860219688,0.0011106359821727336,0.3516960280448634,0.19060417934049165,0.1602839179915093
3.700000000000001,0.15095657092102352,0.007097654824542502,0.36365160302731936,0.19975469440438393,0.16616263833101813
3.8000000000000007,0.15901073921741074,0.013345521929026268,0.3759503466695887,0.20898200790096141,0.17213396929742528
3.9000000000000004,0.1671789970030029,0.019855952686258626,0.388605093486591,0.21824803924131375,0.17819208820227944
4.0,0.17543952778944447,0.026630662486874148,0.40161269460806587,0.2275147078365306,0.1843311723571293
4.100000000000001,0.18377051508837994,0.03367104359918985,0.4149650916889217,0.2367439330977017,0.19054539907352364
4.200000000000001,0.19215348726786946,0.040970050765541874,0.42865422506427053,0.24589795127407085,0.19683011297087594
4.300000000000001,0.2005856445412354,0.048511601497902394,0.4426720350692251,0.2549580089041541,0.203186990083942
4.4,0.20906877310806588,0.056279170067752744,0.4570104620388978,0.2639348184748382,0.20961984298629624
4.5,0.21760465974148396,0.06425623074657433,0.4716614463084011,0.27284162717824645,0.21613248590227785
4.600000000000001,0.22619509121461293,0.0724262578058486,0.4866169282128478,0.28169168220650204,0.22272873305622623
4.700000000000001,0.23484185430057564,0.08077272551705668,0.5018688480873498,0.2904982307517278,0.2294123986724805
4.800000000000001,0.24354673577249533,0.08927910815168005,0.51740914626702,0.29927452000604704,0.23618729697538
4.9,0.25231152240349514,0.09792887998120009,0.5332297630869707,0.30803379716158286,0.24305724218926403
5.0,0.2611380009666982,0.10670551527709814,0.5493226388823145,0.3167893094104584,0.2500260485384718
5.100000000000001,0.27002795823522774,0.11559248831085572,0.5656797139881639,0.3255543039447969,0.25709753024734283
5.200000000000001,0.27898318098220665,0.12457327335395388,0.5822929287396312,0.3343420279567212,0.2642755015402161
5.300000000000001,0.2880054559807581,0.13363134467787416,0.599154223471829,0.3431657286383546,0.27156377664143105
5.4,0.29709657000400536,0.14275017655409789,0.6162555385198697,0.35203865318182026,0.2789661697753269
5.5,0.30625830982507135,0.15191324325410643,0.6335888142188658,0.3609740487792412,0.2864864951662429
5.600000000000001,0.31549246221707955,0.16110401904938138,0.6511459909039302,0.3699851626227409,0.29412856703851853
5.700000000000001,0.3248008139531527,0.17030597821140367,0.6689190089101746,0.379085241904442,0.30189619961649283
5.800000000000001,0.334185151806414,0.1795025950116549,0.686899808572712,0.38828753381646774,0.3097932071245052
5.9,0.34364726254998657,0.18867734372161635,0.7050803102187753,0.3976052855509415,0.3178234037868949
6.0,0.3531889329569937,0.19781369861276943,0.7234520092141624,0.4070517442999861,0.3259906038280012
6.100000000000001,0.36281194980055864,0.20689513395659573,0.7420059946550437,0.41664015725572506,0.3342986214721635
6.200000000000001,0.37251802090729275,0.21590549696159195,0.7607333393704405,0.42638377161028107,0.34275116232336694
6.300000000000001,0.3823061349207504,0.22484148003991533,0.7796251161893759,0.4362954609680716,0.351349773621471
6.4,0.39217193820992,0.2337155642419155,0.7986723979408721,0.4463851320154064,0.36009401772290783
6.5,0.40211087191369954,0.24254120010850466,0.8178662574539516,0.4566612765976919,0.36898338313627527
6.600000000000001,0.41211837717098687,0.2513318381805953,0.837197767557637,0.46713237784691847,0.3780173583701717
6.700000000000001,0.4221898951206795,0.2601009289990993,0.8566580010809501,0.4778069188950762,0.3871954319331949
6.800000000000001,0.4323208669016753,0.26886192310492923,0.8762380308529135,0.48869338287415554,0.39651709233394306
6.9,0.4425067336528722,0.27762827103899707,0.8959289297025498,0.49980025291614694,0.4059818280810143
7.0,0.45274293651316805,0.28641342334221537,0.9157217704588814,0.5111360121530407,0.4155891276830066
7.100000000000001,0.46302491662146084,0.2952308305554964,0.9356076259509308,0.5227091437168274,0.4253384796485184
7.200000000000001,0.47334811511664776,0.30409394321975214,0.9555775690077201,0.5345281307394969,0.43522937248614735
7.300000000000001,0.48370797313762715,0.31301621187589496,0.9756226724582716,0.54660145635304,0.4452612947044917
7.4,0.4940999318232966,0.32201108706483716,0.9957340091316079,0.5589376036894468,0.4554337348121495
7.5,0.5045194323125539,0.33109201932749105,1.0159026518567515,0.5715450558807078,0.46574618131771894
7.600000000000001,0.5149619157442973,0.34027245920476895,1.0361196734627252,0.5844322960588134,0.4761981227297982
7.700000000000001,0.525422823257424,0.3495658572375829,1.05637614677855,0.5976078073557539,0.48678904755698504
7.800000000000001,0.5358975959908321,0.3589856639668452,1.0766631600245817,0.6110800729035195,0.49751844430787767
7.9,0.5463816750834193,0.3685453299334683,1.0969747949640036,0.6248575758341007,0.5083858014910743
8.0,0.5568705016740835,0.3782583056783642,1.1173116846519895,0.6389487992794879,0.5193906076151728
8.100000000000001,0.5673595169017227,0.3881380417424455,1.1376753291174952,0.6533622263716716,0.5305323511887717
8.2,0.577844161905234,0.3981977759592667,1.1580672283894766,0.6681063402426415,0.5418105207204685
8.3,0.5883208132087276,0.4084434198064357,1.1784888824968918,0.6831886366175213,0.5532246047188618
8.400000000000002,0.5987909886231536,0.41887187959617667,1.1989417914686955,0.6986087695412371,0.5647740961587325
8.5,0.609257963067159,0.4294795086846739,1.2194274553338436,0.7143626535790617,0.5764585843917281
8.600000000000001,0.6197250129825106,0.44026266042811246,1.2399473741212945,0.7304461802663719,0.588277751747669
8.7,0.6301954148109742,0.45121768818267627,1.2605030478600023,0.7468552411385423,0.6002312843425439
8.8,0.6406724449943165,0.4623409453045505,1.2810959765789254,0.7635857277309497,0.6123188682923424
8.900000000000002,0.6511593799743033,0.4736287851499193,1.301727660307019,0.7806335315789692,0.6245401897130536
9.0,0.6616594961927007,0.48507756107496686,1.3223995990732385,0.7979945442179758,0.6368949347206662
9.100000000000001,0.6721760700912754,0.4966836264358784,1.3431132929065424,0.8156646571833466,0.6493827894311701
9.2,0.6827123781117928,0.5084433345888376,1.363870241835885,0.8336397620104558,0.6620034399605539
9.3,0.6932716966960201,0.5203530388900299,1.3846719458902244,0.8519157502346804,0.6747565724248075
9.400000000000002,0.7038573022857229,0.5324090926956395,1.4055199050985163,0.8704885133913954,0.6876418729399197
9.5,0.714472471322667,0.54460784936185,1.426415619489716,0.8893539430159757,0.7006590276218794
9.600000000000001,0.7251204802486195,0.5569456622448474,1.4473605890927812,0.9085079306437986,0.7138077225866765
9.7,0.7358046055053459,0.569418884700815,1.468356313936667,0.9279463678102383,0.7270876439502995
9.8,0.7465281235346131,0.5820238700859383,1.4894042940503316,0.9476651460506718,0.7404984778287383
9.900000000000002,0.7572943107781864,0.5947569717564011,1.51050602946273,0.967660156900474,0.7540399103379819
10.0,0.7681064436778324,0.6076145430683878,1.531663020202818,0.98792729189502,0.7677116275940188
10.100000000000001,0.7789677986753176,0.6205929373780836,1.5528767662995535,1.0084624425696869,0.7815133157128392
